Ensembl_ID,Species
ENSTNI,Tetraodon nigroviridis (Tetraodon)
MGP_LPJ_,Mus musculus (Mouse LP/J)
MGP_PWKPhJ_,Mus musculus musculus (Mouse PWK/PhJ)
MGP_C57BL6NJ_,Mus musculus (Mouse C57BL/6NJ)
ENSDOR,Dipodomys ordii (Kangaroo rat)
ENSAMX,Astyanax mexicanus (Cave fish)
ENSMMU,Macaca mulatta (Macaque)
ENSPAN,Papio anubis (Olive baboon)
ENSCSAV,Ciona savignyi
MGP_NODShiLtJ_,Mus musculus (Mouse NOD/ShiLtJ)
ENSCIN,Ciona intestinalis
ENSSHA,Sarcophilus harrisii (Tasmanian devil)
ENSMGA,Meleagris gallopavo (Turkey)
ENSOAR,Ovis aries (Sheep)
ENSTTR,Tursiops truncatus (Dolphin)
ENSMLU,Myotis lucifugus (Microbat)
ENSPPY,Pongo abelii (Orangutan)
ENSSCE,Saccharomyces cerevisiae (Saccharomyces cerevisiae)
ENSECA,Equus caballus (Horse)
ENSNLE,Nomascus leucogenys (Gibbon)
ENSFCA,Felis catus (Cat)
MGP_CASTEiJ_,Mus musculus castaneus (Mouse CAST/EiJ)
ENSDAR,Danio rerio (Zebrafish)
ENSLAC,Latimeria chalumnae (Coelacanth)
ENSXMA,Xiphophorus maculatus (Platyfish)
MGP_FVBNJ_,Mus musculus (Mouse FVB/NJ)
MGP_SPRETEiJ_,Mus spretus (Mouse SPRET/EiJ)
ENSOPR,Ochotona princeps (Pika)
MGP_DBA2J_,Mus musculus (Mouse DBA/2J)
ENSCAF,Canis lupus familiaris (Dog)
ENSXET,Xenopus tropicalis (Xenopus)
ENSCHO,Choloepus hoffmanni (Sloth)
ENSTSY,Carlito syrichta (Tarsier)
ENSBTA,Bos taurus (Cow)
MGP_129S1SvImJ_,Mus musculus (Mouse 129S1/SvImJ)
ENSGMO,Gadus morhua (Cod)
ENSVPA,Vicugna pacos (Alpaca)
FB,Drosophila melanogaster (Fruitfly)
ENSOCU,Oryctolagus cuniculus (Rabbit)
MGP_CBAJ_,Mus musculus (Mouse CBA/J)
ENSEEU,Erinaceus europaeus (Hedgehog)
ENSETE,Echinops telfairi (Lesser hedgehog tenrec)
ENSTGU,Taeniopygia guttata (Zebra Finch)
ENSSAR,Sorex araneus (Shrew)
ENSSTO,Ictidomys tridecemlineatus (Squirrel)
ENSMUS,Mus musculus (Mouse)
ENSAME,Ailuropoda melanoleuca (Panda)
ENSGAL,Gallus gallus (Chicken)
ENSRNO,Rattus norvegicus (Rat)
ENSGAC,Gasterosteus aculeatus (Stickleback)
MGP_WSBEiJ_,Mus musculus domesticus (Mouse WSB/EiJ)
ENSORL,Oryzias latipes (Medaka)
MGP_AKRJ_,Mus musculus (Mouse AKR/J)
ENSMOD,Monodelphis domestica (Opossum)
ENSPSI,Pelodiscus sinensis (Chinese softshell turtle)
ENSMIC,Microcebus murinus (Mouse Lemur)
ENSAPL,Anas platyrhynchos (Duck)
ENS,Homo sapiens (Human)
MGP_BALBcJ_,Mus musculus (Mouse BALB/cJ)
ENSMEU,Notamacropus eugenii (Wallaby)
ENSCJA,Callithrix jacchus (Marmoset)
ENSTBE,Tupaia belangeri (Tree Shrew)
ENSLOC,Lepisosteus oculatus (Spotted gar)
ENSONI,Oreochromis niloticus (Tilapia)
ENSACA,Anolis carolinensis (Anole lizard)
ENSLAF,Loxodonta africana (Elephant)
ENSDNO,Dasypus novemcinctus (Armadillo)
ENSPMA,Petromyzon marinus (Lamprey)
ENSOAN,Ornithorhynchus anatinus (Platypus)
ENSOGA,Otolemur garnettii (Bushbaby)
ENSFAL,Ficedula albicollis (Flycatcher)
ENSTRU,Takifugu rubripes (Fugu)
MGP_C3HHeJ_,Mus musculus (Mouse C3H/HeJ)
ENSCPO,Cavia porcellus (Guinea Pig)
MGP_AJ_,Mus musculus (Mouse A/J)
ENSMPU,Mustela putorius furo (Ferret)
ENSPVA,Pteropus vampyrus (Megabat)
ENSSSC,Sus scrofa (Pig)
ENSPFO,Poecilia formosa (Amazon molly)
ENSPTR,Pan troglodytes (Chimpanzee)
ENSCEL,Caenorhabditis elegans (Caenorhabditis elegans)
ENSGGO,Gorilla gorilla gorilla (Gorilla)
MGP_NZOHlLtJ_,Mus musculus (Mouse NZO/HlLtJ)
ENSPCA,Procavia capensis (Hyrax)
ENSCSA,Chlorocebus sabaeus (Vervet-AGM)